Chinese,Pinyin,English,Book,Lesson,Section
一陣子,yí zhèn zi,"a while, a short duration of time",3,12,2
下一步,xià yí bù,the next step (in doing things),3,12,2
盡可能,jìn kěnéng,"as far as possible, do one's best",3,12,2
出版社,chūbǎn shè,publishing company,3,12,2
捐出,juānchū,to donate,3,12,2
二手書,èrshǒu shū,secondhand book,3,12,2
小玲,Xiǎolíng,"Xiaoling, female",4,1,1
阿建,Ājiàn,"Ajian, male",4,1,1
聊天室,liáotiānshì,"(N) chatroom ( 室 -shì, room)",4,1,1
上班族,shàngbānzú,"(N) (office) workers ( 族 -zú, group)",4,1,1
與其,yǔqí,(Conj) rather than,4,1,1
冷清,lěngqīng,"(Vs) deserted, empty",4,1,1
高就,gāojiù,(Vi) to work (honorific),4,1,1
部門,bùmén,(N) department,4,1,1
厲害,lìhài,"(Vs) impressive, good, awesome",4,1,1
加班,jiābān,(V-sep) to work overtime,4,1,1
類,lèi,"(M) kind, type",4,1,1
恐怖片,kǒngbùpiàn,"(N) horror movie ( 恐怖 kǒngbù, scary; 片 -piàn, film)",4,1,1
愛情片,àiqíngpiàn,"(N) love story or romance movie ( 愛情 àiqíng, love)",4,1,1
嚇,xià,(Vp) to be scared,4,1,1
哭,kū,(V) to cry,4,1,1
上癮,shàngyǐn,"(Vp) to get hooked on, addicted",4,1,1
刺激,cìjī,(Vs) stimulating,4,1,1
簡直,jiǎnzhí,"(Adv) simply, really",4,1,1
膽子,dǎnzi,"(N) guts, courage",4,1,1
部,bù,(M) measure word for movies,4,1,1
限制級,xiànzhìjí,"(N) restricted (viewing for movies) ( 限制 xiànzhì, restricted; 級 -j, level)",4,1,1
電影院,diànyǐngyuàn,"(N) cinema, movie theater",4,1,1
呃,è,"(Ptc) uh, interjection indicating embarrassment",4,1,1
建設公司,jiànshè gōngsī,construction company,4,1,1
業務經理,yèwù jīnglǐ,business manager,4,1,1
室內設計,shìnèi shèjì,interior design,4,1,1
溫暖,wēnnuǎn,(Vs) warm,4,1,2
目前,mùqián,(Adv) currently,4,1,2
所,suǒ,(M) measure word for schools,4,1,2
就讀,jiùdú,(Vi) to be enrolled as a student,4,1,2
不至於,búzhìyú,"(Adv) not so, not to that degree, not so much that",4,1,2
但,dàn,"(Conj) but, however (formal)",4,1,2
放學,fàngxué,"(Vp) after school, when school lets out",4,1,2
後,hòu,(N) afterwards (formal),4,1,2
解決,jiějué,(V) to take care,4,1,2
寂寞,jímò,(Vs) lonely,4,1,2
網友,wǎngyǒu,(N) online friends,4,1,2
陪伴,péibàn,(V) to keep somebody company,4,1,2
電腦,diànnǎo,(N) computer,4,1,2
進入,jìnrù,(V) to enter,4,1,2
線上,xiànshàng,(N) online,4,1,2
感情,gǎnqíng,"(N) emotions, feelings, love",4,1,2
小氣,xiǎoqì,(Vs) to be stingy,4,1,2
時,shí,(N) when (formal),4,1,2
往往,wǎngwǎng,"(Adv) oftentimes, generally",4,1,2
打氣,dǎqì,(Vi) to cheer on/up,4,1,2
安慰,ānwèi,(V) to comfort,4,1,2
心裡,xīnlǐ,(N) in (one's) mind,4,1,2
大膽,dàdǎn,"(Vs) to be bold, courageous",4,1,2
紓解,shūjiě,(V) to relieve,4,1,2
轉換,zhuǎnhuàn,"(V) to change, transform",4,1,2
虛擬,xūnǐ,(Vs-attr) virtual,4,1,2
現實,xiànshí,"(Vs) actual, real",4,1,2
心理,xīnlǐ,"(N) psychological, mental",4,1,2
即使,jíshǐ,"(Conj) even if, even though",4,1,2
責備,zébèi,"(V) to reproach, get on somebody's case",4,1,2
期待,qídài,(N) expectations,4,1,2
喘氣,chuǎnqì,"(V-sep) to gasp, pant",4,1,2
自在,zìzài,"(Vs) to be at ease, relaxed",4,1,2
交友,jiāoyǒu,(Vi) to make friends (with),4,1,2
暴力,bàolì,(N) violence,4,1,2
點,diǎn,(V) to click (on),4,1,2
懂得,dǒngde,(Vst) to know how to,4,1,2
陷阱,xiànjǐng,"(N) trap, snare",4,1,2
明星高中,míngxīng gāozhōng,"distinguished ,exclusive high school",4,1,2
早出晚歸,zǎochū wǎnguī,to leave home early and get home late,4,1,2
打開,dǎkāi,"to turn on, to power on",4,1,2
喘不過氣,chuǎnbúguò qì,"to be under great pressure, (lit.) unable to breathe",4,1,2
躲進,duǒjìn,to hide oneself in,4,1,2
掉進,diàojìn,to fall into,4,1,2
李雲真,Lǐ Yúnzhēn,"Li Yunzhen, female",4,2,1
眼睛,yǎnjīng,(N) eye,4,2,1
耳朵,ěrduo,(N) ear,4,2,1
饗宴,xiǎngyàn,(N) feast,4,2,1
打扮,dǎbàn,(V) to put on makeup,4,2,1
音樂廳,yīnyuètīng,"(N) music hall, concert hall ( 廳 -tīng, hall)",4,2,1
表演,biǎoyǎn,(N/V) performance; to perform,4,2,1
整齊,zhěngqí,(Vs) neat,4,2,1
穿著,chuānzhuó,(N) attire,4,2,1
丟臉,diūliǎn,"(Vs-sep) to lose face, to be embarrassed",4,2,1
短褲,duǎnkù,(N) shorts,4,2,1
涼鞋,liángxié,(N) sandals,4,2,1
擋,dǎng,(V) to block,4,2,1
演出者,yǎnchūzhě,"(N) performer ( 演出 yǎnchū, to perform; 者 zhě, person)",4,2,1
尊重,zūnzhòng,(Vst) to respect,4,2,1
社交,shèjiāo,(N) socialization,4,2,1
免得,miǎnde,"(Conj) lest, so as not to, to avoid",4,2,1
中場,zhōngchǎng,"(N) intermission, halftime",4,2,1
準時,zhǔnshí,"(Vs) to be punctual, on time",4,2,1
禮貌,lǐmào,(N) courtesy,4,2,1
或,huò,(Conj) or (formal),4,2,1
熟,shóu,"(Vs) to be familiar with, to be close to somebody",4,2,1
提,tí,"(V) to bring up, mention",4,2,1
咳嗽,késòu,(Vi) to cough,4,2,1
關,guān,"(V) to close, shut off",4,2,1
哇,wa,"(Ptc) yikes, oh no",4,2,1
水準,shuǐzhǔn,"(N) class, cultural standard",4,2,1
手冊,shǒucè,"(N) programme, manual",4,2,1
洗手間,xǐshǒujiān,"(N) restroom ( 間 -jiān, part of 房間 , room)",4,2,1
提醒,tíxǐng,(V) to remind,4,2,1
響,xiǎng,(Vp) to sound,4,2,1
糟,zāo,(Vs) awful,4,2,1
噓,xū,"(Ptc) Shh, to hush",4,2,1
看不成,kànbùchéng,to miss out,4,2,1
聯絡感情,liánluò gǎnqíng,to get to know each other better to strengthen ties with each other,4,2,1
擤鼻涕,xǐng bítì,to blow one's nose,4,2,1
場,chǎng,(M) measure word for performances,4,2,2
強調,qiángdiào,(V) to stress,4,2,2
團體,tuántǐ,(N) group,4,2,2
千萬,qiānwàn,(Adv) by all means,4,2,2
鋼琴,gāngqín,(N) piano,4,2,2
小提琴,xiǎotíqín,(N) violin,4,2,2
古典,gǔdiǎn,(Vs) classical,4,2,2
畫家,huàjiā,(N) painter,4,2,2
畫,huà,(V/N) to paint; painting,4,2,2
舞蹈,wǔdào,(N) dance,4,2,2
文學,wénxué,(N) literature,4,2,2
繪畫,huìhuà,"(N) (act of) painting, drawing",4,2,2
等,děng,"(Ptc) etc., and so forth",4,2,2
寺廟,sìmiào,(N) temple,4,2,2
表現,biǎoxiàn,"(V/N) to manifest, express; manifestation, expression",4,2,2
之,zhī,"(Ptc) of (from classical Chinese, roughly equivalent to the modern Chinese 的 )",4,2,2
劇情,jùqíng,"(N) story, plot, storyline",4,2,2
導演,dǎoyǎn,(N) director (movies),4,2,2
所,suǒ,(Ptc) a verbal marker (marking what comes after as a verb),4,2,2
紅,hóng,(Vs) popular (of an actress or singer),4,2,2
明星,míngxīng,(N) movie stars,4,2,2
演技,yǎnjì,(N) acting skills,4,2,2
得,dé,"(Vpt) to get, obtain, receive",4,2,2
獎,jiǎng,(N) award,4,2,2
廣場,guǎngchǎng,(N) plaza,4,2,2
或,huò,(Conj) or,4,2,2
仔細,zǐxì,"(Adv) carefully, attentively",4,2,2
留意,liúyì,"(Vst) to pay attention to, take note of",4,2,2
處處,chùchù,(Adv) everywhere,4,2,2
滿足,mǎnzú,(Vst) to satisfy,4,2,2
豐盛,fēngshèng,"(Vs) sumptuous, abundant",4,2,2
國家戲劇院,Guójiā Xìjùyuàn,National Theater,4,2,2
雲門舞集,Yúnmén Wǔjí,Cloud Gate Dance Theatre,4,2,2
國家音樂廳,Guójiā Yīnyuètīng,National Concert Hall,4,2,2
金馬影展,Jīnmǎ Yǐngzhǎn,Golden Horse Film Festival,4,2,2
現代舞,xiàndài wǔ,modern dance,4,2,2
無人不知無人不曉,wúrén bùzhī wúrén bùxiǎo,known to all,4,2,2
百聞不如一見,bǎiwén bùrú yíjiàn,seeing it once is better than hearing about it a hundred times,4,2,2
老街,lǎojiē,old street,4,2,2
街頭藝術,jiētóu yìshù,street art,4,2,2
裝置藝術,zhuāngzhì yìshù,installation art,4,2,2
填飽,tiánbǎo,to fill one's belly,4,2,2
口腹之慾,kǒufù zhīyù,the desire of one's palate,4,2,2
李文麗,Lǐ Wénlì,"Li Wenli, female",4,3,1
外婆,wàipó,(N) grandma,4,3,1
女裝,nǚzhuāng,(N) women's apparel,4,3,1
何必,hébì,"(Adv) Why bother..., Why must?",4,3,1
指,zhǐ,"(Vst) to mean, to indicate",4,3,1
划算,huásuàn,"(Vs) cost effective, a good deal",4,3,1
身材,shēncái,"(N) figure, build, body (shape)",4,3,1
模特兒,mótèr,(N) model,4,3,1
不見得,bújiàndé,(Adv) not necessarily,4,3,1
仿冒品,fǎngmàopǐn,"(N) knock-off, counterfeit product (仿冒 fǎngmào, counterfeit; 品 -pǐn, product)",4,3,1
瑕疵,xiácī,(N) defect,4,3,1
圖片,túpiàn,(N) picture,4,3,1
落差,luòchā,(N) difference,4,3,1
提供,tígōng,(V) to offer,4,3,1
資訊,zīxùn,(N) information,4,3,1
疑問,yíwèn,"(N) question, doubt",4,3,1
嘛,ma,"(Ptc) sentence particle, ‘it is obvious that'",4,3,1
慣,guàn,"(Ptc) to get used to, accustomed to etc",4,3,1
瀏覽,liúlǎn,"(V) to browse, surf (the internet)",4,3,1
後悔,hòuhuǐ,"(Vs) to regret, feel sorrowful about",4,3,1
深夜,shēnyè,"(N) late at night, in the wee hours",4,3,1
任何,rènhé,(Det) any,4,3,1
駭客,hàikè,(N) hacker,4,3,1
盜用,dàoyòng,"(V) to hack, use illegitamately",4,3,1
認證,rènzhèng,(V/N) to certify; certification,4,3,1
銀髮族,yínfǎzú,"(N) senior citizens, seniors (銀 yín, silver; 髮 fǎ, hair)",4,3,1
從前,cóngqián,"(N) in the past, before, formerly",4,3,1
通常,tōngcháng,"(Adv) generally, as a rule",4,3,1
取貨,qǔhuò,(V-sep) to pick up goods,4,3,1
付款,fùkuǎn,(V-sep) to make payment,4,3,1
雲端科技,yúnduānkējì,cloud/internet technology,4,3,1
宅經濟,zháijīngjì,online economy,4,3,1
用不慣,yòngbúguàn,"not used/accustomed to using, not comfortable with",4,3,1
退換,tuì huàn,"to return, to exchange for something else",4,3,1
信用卡,xìnyòng kǎ,credit card,4,3,1
縮短,suōduǎn,(Vpt) to shorten,4,3,2
人們,rénmen,(N) people in general,4,3,2
距離,jùlí,(N) distance,4,3,2
取代,qǔdài,(V) to replace,4,3,2
信,xìn,"(N) letter, mail",4,3,2
影集,yǐngjí,(N) (TV) series,4,3,2
取得,qǔdé,"(V) to obtain, access",4,3,2
例如,lìrú,(Vst) for example,4,3,2
民眾,mínzhòng,"(N) the public, people in general",4,3,2
高速公路,gāosù gōnglù,"(N) highway, freeway",4,3,2
前,qián,(N) before (formal),4,3,2
查詢,cháxún,"(V) to look up, check",4,3,2
路況,lùkuàng,"(N) road situation, traffic situation",4,3,2
避開,bìkāi,(V) to avoid,4,3,2
路段,lùduàn,(N) section of road,4,3,2
若,ruò,"(Conj) if, supposing",4,3,2
運用,yùnyòng,"(V) to use, employ",4,3,2
病歷,bìnglì,(N) medical records,4,3,2
例子,lìzi,(N) example,4,3,2
更加,gèngjiā,(Adv) even more,4,3,2
原本,yuánběn,(Adv) originally,4,3,2
忙碌,mánglù,(Vs) busy,4,3,2
確實,quèshí,(Adv) indeed,4,3,2
控制,kòngzhì,(V) to control,4,3,2
表弟,biǎodì,(N) cousin (younger male cousin from one's mother's side as well as from one's father's sisters),4,3,2
退步,tuìbù,"(Vp) to regress, get worse, fall behind",4,3,2
過度,guòdù,"(Adv) overly, excessively",4,3,2
與,yǔ,(Conj) and (formal),4,3,2
生理,shēnglǐ,(N) physical health,4,3,2
盯,dīng,(V) to stare,4,3,2
螢幕,yíngmù,"(N) screen, monitor",4,3,2
疲倦,píjuàn,"(Vs) tired, fatigued",4,3,2
視力,shìlì,"(N) vision, eyesight",4,3,2
家長,jiāzhǎng,(N) parent,4,3,2
此外,cǐwài,(Conj) in addition,4,3,2
戶外,hùwài,(N) outdoor,4,3,2
人類,rénlèi,"(N) mankind, humans",4,3,2
正面,zhèngmiàn,(Vs) positive,4,3,2
同時,tóngshí,(Adv) at the same time,4,3,2
負面,fùmiàn,(Vs) negative,4,3,2
沉迷,chénmí,"(Vs) to be obsessed with, wallow in",4,3,2
無形中,wúxíng zhōng,imperceptibly,4,3,2
遠距教學,yuǎnjù jiāoxué,distance learning,4,3,2
大吵大鬧,dàchǎodànào,,4,3,2
焦慮不安,jiāolǜ bù'ān,to be anxious,4,3,2
總而言之,zǒng'ér yánzhī,"in conclusion, to sum up, in short",4,3,2
該,gāi,"(Vaux) should, ought to",4,4,1
擺,bǎi,"(V) to place, display",4,4,1
總算,zǒngsuàn,(Adv) finally,4,4,1
欸,èi,"(Ptc) hey, calling attention",4,4,1
呀,yā,(Ptc) particle indicating uncertainty,4,4,1
衣櫥,yīchú,(N) closet,4,4,1
梳妝台,shūzhuāngtái,(N) dressing table,4,4,1
位置,wèizhì,"(N) position, location",4,4,1
空間,kōngjiān,(N) space,4,4,1
科學,kēxué,(N) science,4,4,1
風水師,fēngshuǐshī,"(N) Feng Shui master, geomancer ( 風水 fēngshuǐ, Feng Shui; 師 -shī, master)",4,4,1
在意,zàiyì,(Vs) to care about,4,4,1
所謂,suǒwèi,"(V) so-called, what is known as",4,4,1
角度,jiǎodù,"(N) angle, perspective",4,4,1
改造,gǎizào,"(V) to transform, restructure",4,4,1
學問,xuéwèn,(N) a branch of learning,4,4,1
居住,jūzhù,"(Vi) to live, reside",4,4,1
日常,rìcháng,(Vs-attr) daily,4,4,1
布置,bùzhì,"(N/V) décor, layout, arrangement; to decorate, to arrange furniture",4,4,1
凶猛,xiōngměng,"(Vs) fierce, ferocious",4,4,1
動物,dòngwù,(N) animal,4,4,1
刀,dāo,(N) knife,4,4,1
劍,jiàn,(N) sword,4,4,1
脾氣,píqì,(N) temper,4,4,1
暴躁,bàozào,"(Vs) cranky, irritable",4,4,1
衝動,chōngdòng,"(Vs) impulsive, rash",4,4,1
鏡子,jìngzi,(N) mirror,4,4,1
床腳,chuángjiǎo,(N) foot of the bed,4,4,1
光,guāng,"(Adv) alone, merely",4,4,1
擺飾,bǎishì,"(N) décor, ornaments",4,4,1
老婆,lǎopó,(N) wife,4,4,1
把,bǎ,"(M) measure word for objects that can be grasped or objects with a handle, e.g., umbrella, knife",4,4,1
欺負,qīfù,"(V) to pick on, bully, take advantage of",4,4,1
風水學,Fēngshuǐxué,"the study of Feng Shui, geomancy ( 學 -xué, -ology) study,",4,4,1
正對門,zhèng duì mén,directly facing the door,4,4,1
譬如說,pìrú shuō,for example,4,4,1
一口氣,yì kǒu qì,in one breath,4,4,1
死定了,sǐdìngle,"(You're) a dead man, You're toast",4,4,1
地理,dìlǐ,(N) geography,4,4,2
便利性,biànlìxìng,"(N) convenience ( 性 -xìng, property, suffix indicating that a term is a noun)",4,4,2
周邊,zhōubiān,"(N) surrounding, periphery",4,4,2
住宅,zhùzhái,(N) residence,4,4,2
詞,cí,"(N) term,word",4,4,2
西元,Xīyuán,(N) A.D,4,4,2
推翻,tuīfān,"(V) to repudiate, overturn",4,4,2
心中,xīnzhōng,(N) in somebody's heart,4,4,2
名言,míngyán,(N) well-known saying,4,4,2
建造,jiànzào,(V) to build,4,4,2
塑造,sùzào,(V) to shape,4,4,2
命運,mìngyùn,"(N) fate, destiny",4,4,2
本身,běnshēn,"(N) itself, oneself",4,4,2
地標,dìbiāo,(N) landmark,4,4,2
參考,cānkǎo,(V/N) to make reference to; reference,4,4,2
外觀,wàiguān,"(N) exterior, appearance",4,4,2
疊,dié,(V) to stack,4,4,2
盆子,pénzi,(N) basin,4,4,2
斜,xié,"(Vs) slanted, tilted",4,4,2
牆面,qiángmiàn,(N) wall face,4,4,2
聚寶盆,jùbǎopén,"(N) treasure basin, similar to a cornucopia but filled with treasure ( 聚 -jù, to gather; 寶 -bǎo, treasure; 盆 -pén,",4,4,2
角,jiǎo,(N) corner,4,4,2
龍,lóng,(N) dragon,4,4,2
古,gǔ,(Vs-attr) ancient (formal),4,4,2
錢幣,qiánbì,"(N) coins,currency",4,4,2
屋頂,wūdǐng,(N) roof,4,4,2
龜,guī,"(N) turtle, tortoise",4,4,2
招財,zhāocái,(Vi) to attract treasure,4,4,2
側門,cèmén,"(N) side door, side gate",4,4,2
遮雨棚,zhēyǔpéng,"(N) canopy, awning",4,4,2
如意,rúyì,"(N) ruyi, scepter, s-shaped ornamental object that brings good luck",4,4,2
設計,shèjì,(N/V) design; to design,4,4,2
偶然,ǒurán,"(Vs) random, accidental, chancy",4,4,2
晉代,Jìn Dài,Jin Dynasty,4,4,2
郭璞,Guō Pú,Guo Pu,4,4,2
英國,Yīngguó,the UK,4,4,2
邱吉爾,Qiūjí'ěr,Churchill,4,4,2
信義路,Xìnyì Lù,Xinyi Road,4,4,2
松智路,Sōngzhì Lù,Songzhi Road,4,4,2
一命二運三風水,yímìng èryùnsānfēngshuǐ,is third,4,4,2
加起來,jiāqǐlái,"to add up, totalize",4,4,2
咬錢龜,yǎoqián guī,money-biting turtle,4,4,2
十全十美,shíquán shíměi,"perfect, pinnacle of perfection",4,4,2
夢,mèng,(N) dream,4,5,1
排隊,páiduì,"(V-sep) to line up, stand in queue",4,5,1
校刊,xiàokān,"(N) school newspaper, school publications of all sorts",4,5,1
採訪,cǎifǎng,(V) to interview,4,5,1
校友,xiàoyǒu,(N) alumnus,4,5,1
博士,bóshì,"(N) doctorate, PhD",4,5,1
學位,xuéwèi,(N) academic degree,4,5,1
考,kǎo,(V) to take a test,4,5,1
司機,sījī,"(N) driver, chauffeur",4,5,1
學士,xuéshì,"(N) bacheloars, college degree",4,5,1
地攤,dìtān,(N) street stall,4,5,1
現象,xiànxiàng,(N) phenomenon,4,5,1
稀奇,xīqí,"(Vs) rare (and unique), singular",4,5,1
搶,qiǎng,"(V) to rob, mug",4,5,1
批評,pīpíng,(V) to criticize,4,5,1
浪費,làngfèi,(Vst) to waste,4,5,1
畢竟,bìjìng,(Adv) after all,4,5,1
貢獻,gòngxiàn,(V) to make contributions,4,5,1
的確,díquè,(Adv) indeed,4,5,1
盲目,mángmù,(Adv) blindly,4,5,1
升學,shēngxué,(Vi) to pursue further education,4,5,1
逃避,táobì,"(V) to evade, escape",4,5,1
就業,jiùyè,(N/Vi) employment; to get a job,4,5,1
延後,yánhòu,(V) to postpone,4,5,1
啃老族,kěnlǎozú,"(N) a “sponge”, a “parasite”, somebody who feeds off the old (啃老 kěnlǎo, gnaw on the old) live off one's parents, lit.",4,5,1
收攤,shōutān,(V-sep) to close up shop (said of street stalls),4,5,1
清潔隊員,qīngjiéduìyuán,"cleaning squad, street cleaners ( 清潔 qīngjié, to clean; 隊員 -duìyuán, team member)",4,5,1
擺地攤,bǎi dìtān,to have a street stall,4,5,1
大多數,dàduōshù,"most, the majority of",4,5,1
話說回來,huàshuō huílái,"on the other hand, however",4,5,1
自食其力,zìshí qílì,"to rely on yourself, to stand on your own two feet",4,5,1
下一期,xiàyìqí,next issue (of a periodical),4,5,1
段,duàn,(M) a period of (time),4,5,2
物價,wùjià,"(N) prices, commodity prices",4,5,2
上漲,shàngzhǎng,(Vp) to rise (of prices),4,5,2
所得,suǒdé,(N) income,4,5,2
漲,zhǎng,(Vp) to rise (as of prices and water level),4,5,2
勉強,miǎnqiǎng,"(Adv) barely, with great reluctance",4,5,2
根本,gēnběn,"(Adv) at all, in the slightest",4,5,2
組織,zǔzhī,(N) organization,4,5,2
抗議,kàngyì,(V) to protest against,4,5,2
地價,dìjià,(N) land prices,4,5,2
房價,fángjià,(N) housing prices,4,5,2
高漲,gāozhǎng,(Vs) to (upward) surge,4,5,2
造成,zàochéng,"(Vpt) to cause, produce, make",4,5,2
統計,tǒngjì,(N) statistics,4,5,2
窮忙,qióngmáng,(Vs) busy doing things without achieving anything,4,5,2
全球,quánqiú,"(N) global, worldwide",4,5,2
景氣,jǐngqì,"(Vs) prosperous, booming, economic conditions",4,5,2
施行,shīxíng,"(V) to implement, put into effect",4,5,2
薪資,xīnzī,"(N) pay, salary, wages",4,5,2
多年,duōnián,"(N) for many years, for so long",4,5,2
未,wèi,(Adv) not yet (formal),4,5,2
調高,tiáogāo,(V) to adjust upward,4,5,2
裁員,cáiyuán,(Vi) to lay off,4,5,2
觀察,guānchá,"(V) to observe, note",4,5,2
彩券,cǎiquàn,(N) lottery,4,5,2
中獎,zhòngjiǎng,"(Vp-sep) to win (a prize or lottery), to hit a jackpot",4,5,2
做夢,zuòmèng,(V-sep) to dream,4,5,2
發財,fācái,(Vp-sep) to strike it rich,4,5,2
臉色,liǎnsè,(N) countenance (mood shown on face),4,5,2
報導,bàodǎo,"(N) report, article, story (news)",4,5,2
指出,zhǐchū,"(V) to indicate, point out",4,5,2
創業,chuàngyè,(Vi) to set up a business,4,5,2
餐飲業,cānyǐnyè,(N) food and beverage industry,4,5,2
人生,rénshēng,(N) life,4,5,2
及,jí,(Conj) and (formal),4,5,2
挑戰,tiǎozhàn,(N) challenge,4,5,2
培養,péiyǎng,"(V) to cultivate, train, foster",4,5,2
實力,shílì,(N) strength (not physical strength),4,5,2
等待,děngdài,"(V) to wait for, await",4,5,2
擁有,yǒngyǒu,"(Vst) to have as one's own, possess",4,5,2
中國大陸,Zhōngguó Dàlù,Mainland China,4,5,2
存不了,cúnbùliǎo,can't save (money),4,5,2
無殼蝸牛,wúkéguāniú,people who can't afford to buy their own home,4,5,2
貧富不均,pínfùbùjūn,"gap between the rich and the poor, unequal distribution of wealth",4,5,2
苦哈哈,kǔ hāhā,"bitter life, very poorly",4,5,2
另謀發展,lìngmóu fāzhǎn,to seek opportunities elsewhere,4,5,2
恨不得,hènbùdé,"to be dying to, desperately",4,5,2
一夜致富,yíyè zhìfù,to become rich overnight,4,5,2
一片天,yípiàntiān,"place in the sun, a job that makes you happy and provides you with all the money and things that you want, paradise",4,5,2
高來恩,Gāo Lái'ēn,a man from Switzerland,4,6,1
地震,dìzhèn,(N) earthquake,4,6,1
搖,yáo,"(Vp) to rock, shake",4,6,1
厲害,lìhài,"(Vs) fierce, formidable",4,6,1
經常,jīngcháng,(Adv) frequently,4,6,1
倒,dǎo,(Vp) to collapse,4,6,1
橋,qiáo,(N) bridge,4,6,1
斷,duàn,"(Vp) to break, snap",4,6,1
多,duō,(Adv) so,4,6,1
地區,dìqū,(N) region,4,6,1
強烈,qiángliè,(Vs) strong,4,6,1
頻率,pínlǜ,(N) frequency,4,6,1
預測,yùcè,"(V) to predict, forecast",4,6,1
徵兆,zhēngzhào,"(N) sign, omen",4,6,1
鳥類,niǎolèi,(N) birds,4,6,1
雞,jī,(N) chicken,4,6,1
預先,yùxiān,(Adv) in advance,4,6,1
老鼠,lǎoshǔ,"(N) mouse, rat",4,6,1
貓,māo,(N) cat,4,6,1
馬,mǎ,(N) horse,4,6,1
證實,zhèngshí,(V) to verify,4,6,1
應變,yìngbiàn,(Vi) to meet an emergency,4,6,1
隨手,suíshǒu,(Adv) within easy reach,4,6,1
白,bái,(Adv) in vain,4,6,1
嫌,xián,(Vst) to grumble,4,6,1
事前,shìqián,(Adv) in advance,4,6,1
總是,zǒngshì,(Adv) always,4,6,1
西歐,Xī Ōu,Western Europe,4,6,1
北歐,Běi Ōu,Northern Europe,4,6,1
中歐,Zhōng Ōu,Central Europe,4,6,1
澳洲,Àozhōu,Australia,4,6,1
南美洲,Nán Měizhōu,South America,4,6,1
地球科學,dìqiú kēxué,earth science studies,4,6,1
菲律賓,Fēilǜbīn,the Philippines,4,6,1
天搖地動,tiānyáodìdòng,"swaying heavens and trembling earth, earth- shaking",4,6,1
壓死,yāsǐ,crushed to death,4,6,1
災情慘重,zāiqíngcǎnzhòng,in serious disaster,4,6,1
東半部,dōng bàn bù,the eastern half,4,6,1
地震帶,dìzhèn dài,"seismic zone, earthquake belt",4,6,1
救生包,jiùshēng bāo,"survival kit, survival pack",4,6,1
有備無患,yǒubèi wúhuàn,"be prepared, be on the safe side",4,6,1
如何,rúhé,(Adv) how,4,6,2
逃生,táoshēng,(Vi) to evacuate,4,6,2
發達,fādá,"(Vs) advanced,developed",4,6,2
天災,tiānzāi,(N) natural disaster,4,6,2
災害,zāihài,"(N) disaster, damage (from a disaster)",4,6,2
程度,chéngdù,"(N) degree, level",4,6,2
首先,shǒuxiān,(Adv) first of all,4,6,2
其次,qícì,"(Adv) second, next, then",4,6,2
災難,zāinàn,(N) disaster,4,6,2
緊急,jǐnjí,(Vs) in emergency,4,6,2
必需品,bìxūpǐn,"(N) necessities ( 必需 bìxū, essential, indispensable)",4,6,2
譬如,pìrú,"(Vst) for example, like",4,6,2
手電筒,shǒudiàntǒng,"(N) flashlight, torch",4,6,2
餅乾,bǐnggān,"(N) crackers, cookies",4,6,2
平時,píngshí,(N) in ordinary times,4,6,2
狀況,zhuàngkuàng,"(N) situation,circumstance",4,6,2
慌張,huāngzhāng,"(Vs) to panic, be flustered",4,6,2
停電,tíngdiàn,(Vp-sep) to have a power outage,4,6,2
黑暗,hēi'àn,(N) the darkness,4,6,2
方向,fāngxiàng,(N) direction,4,6,2
集合,jíhé,"(Vi) to meet, assemble",4,6,2
裂縫,lièfèng,(N) crack,4,6,2
瓦斯,wǎsī,(N) natural gas,4,6,2
開關,kāiguān,(N) switch,4,6,2
火災,huǒzāi,"(N) fire (disaster), conflagration",4,6,2
門框,ménkuāng,(N) door frame,4,6,2
歪,wāi,"(Vp) askew, slanted, crooked",4,6,2
頭部,tóubù,(N) head,4,6,2
冷靜,lěngjìng,"(Vs) cool-headed, calm",4,6,2
穩,wěn,(Vs) steady,4,6,2
櫃子,guìzi,"(N) closet, cabinet",4,6,2
牆壁,qiángbì,(N) wall,4,6,2
倒塌,dǎotā,(Vp) to collapse,4,6,2
電梯,diàntī,(N) elevator,4,6,2
反而,fǎn'ér,"(Conj) on the contrary, rather",4,6,2
堅固,jiāngù,"(Vs) strong, firm, solid",4,6,2
柱子,zhùzi,"(N) pillar, column",4,6,2
碰,pèng,"(V) to hit, bump into",4,6,2
形成,xíngchéng,(V) to form,4,6,2
三角形,sānjiǎoxíng,(N) triangle,4,6,2
保持,bǎochí,"(V) to remain, stay",4,6,2
平靜,píngjìng,(Vs) calm,4,6,2
指示,zhǐshì,"(N) instructions, commands",4,6,2
救援,jiùyuán,(Vi) to rescue,4,6,2
行動,xíngdòng,"(N) activity, action, operations",4,6,2
掉下來,diàoxiàlái,"to fall down, to drop",4,6,2
倒下來,dǎoxiàlái,"to fall over, to collapse",4,6,2
救災人員,jiùzāi rényuán,rescue personnel,4,6,2
博文,Bówén,a senior in college,4,7,1
玉珍,Yùzhēn,a sophomore in college,4,7,1
學妹,xuémèi,(N) female lower classmate (see culture notes),4,7,1
學弟,xuédì,(N) male lower classmate,4,7,1
彈,tán,"(V) to play (piano, guiter)",4,7,1
吉他,jítā,(N) guitar,4,7,1
交,jiāo,"(V) to submit, hand in",4,7,1
家教,jiājiào,"(N) coach, tutor",4,7,1
